Entity,average_probability
corruption,337000000
a man capable of being dangerous,10
the beginning of this episode,4490000
"Pennsylvania, Michigan, Colorado, Ohio and New York",5
defects,346000000
Hypertensive crisis,459000
the above picture,1940000
suit,969000000
"Ty Votaw, executive director of the IGF's Olympic Golf Committee, which has coordinated golf's Olympic bid",0
the Khmer Rouge,849000
four schools,2690000
years,9950000000
the Cleveland suburb of Kirtland,54
This meeting,24400000
classical physics,1420000
The village,193000000
public anger,771000
the rise in rates,279000
future issues,5440000
the spinning rate of silk,3
the measure,105000000
"classic, ""This Time I Know It's For Real "", under the name Young Divas",3
some corporate masseurs,0
Caloundra in southern Queensland,241
that work,303000000
other rich countries,66600
An older brother and sister,474000
a Norwegian football (soccer) player,7
a clear victory over the opposition Red-Green bloc,0
several film festivals,163000
private armies,155000
Israeli and Egyptian offers,0
the boys in Peter Pan,5250
Vaishali around sizth century,0
Oromiffa,110000
Antwerpen,13400000
a flight attendant,9610000
his crew,24200000
Egyptian natural gas,48100
"The prime minister and her new chancellor of the exchequer, the untested John Major",0
the Siberian border where he had been jailed,1
"not an adequate strategic partner """,198
a military official,240000
Stefan,189000000
the province,119000000
natural gas as its raw material,3160
High school and university education,229000
Morgan Stanley,23500000
the seeds,86500000
The dollar,43500000
The unions,5160000
Binaural,12100000
the bronze medal,4950000
the term used within the European Union to encompass activities related to the achievement of an inclusive information society,0
concrete reinforced with steel rebar,7450
given potential changes to core market infrastructure,1
the Thatcher government,104000
You,23430000000
USPS,47500000
The explosion,31000000
the achievements,27400000
Jintara Poonlarp,39800
his second wife,8360000
The audience,293000000
The Elwha Ecosystem Restoration project,246
The personal income tax threshold,13700
a new phase,13500000
indexing,163000000
Rostra,356000
Eversel,1880
place,6520000000
"the German, Italian, Japanese, and Portuguese communities",2
any given time using the Contact Us form at the bottom of every page,0
an entirely new type of television drama-contemporary realism,1
"Bill Laswell, another electronic adventurer",1
noon,185000000
the English language,113000000
the Rafida,2100
the last games of the second and third sets,1
Li Yan,1150000
Bradford,114000000
TV processors,3420
The show,659000000
"the gasoline, diesel, bitumen and other products",1
The convoy of Qasim Fahim,0
his future and the future of the country,6
Beruni,90400
the President of Poland and the Prime Minister of Poland,4
the global automaker,19200
Ethel Merman,338000
a decade,502000000
that distributor,67600
AARP Insurance Plan American Association,0
A six-month-old girl,52300
a cross-strait taxation agreement,0
advancing ones on the broad market,0
Dave Albo,4510
the Gandhi memorial,62600
medicine,2470000000
this problem,382000000
Nell,57800000
a new factory run by German carmaker Volkswagen in the town of Kaluga,0
a pre-dawn attack,12500
a tragic necessity,5350
a decision,337000000
electric power,68500000
the Test series,3710000
New Zealand v South Africa,149000
the piano,53600000
Hamas,247000000
recovery in Germany and France,8
The NuSTAR launch team,0
the Dragon Queen of Waste Paper,0
King Louis Napoleon,21100
a concert artist and composer,2480
a revival,14100000
Chinese exporters,119000
the Fifteenth Air Force,14800
a job,924000000
U.S. investors,16800000
Harbin,19400000
"the novelists who tried to enrich the novels of the then East Pakistan, present Bangladesh",1
Yugoslavia,38700000
the ground ball,172000
a benefit,66100000
the OPEC oil producers' cartel,1100
the surgeon,43600000
some banks,4210000
only a slight swing against him,1
NBC,249000000
"comprehensive and in-depth recommendations, due to the extremely complicated nature of the situation in Iraq, the report",0
the International Olympic Committee,4420000
a view,289000000
present Erwin Arnada--now at large,0
the market,901000000
the National Assembly of Bulgaria,49300
the Philadelphia Growl,23
a bottle of port poisoned,1
many years,463000000
a months-long standoff,11600
Jan Nieszkowski,26
Friday's sell-off,6620
Catholicism,25200000
Perhaps the biggest of those factors,1
the USAC Championship Car series,1010
String piano,60700
bars at night,230000
the track to hit Joey Logano which brought out the third caution of the day,0
the negotiations with serious intent,3
The British balance-of-payments statistics,0
the Autobianchi badge,35
The visitors,114000000
"The Maharajah of Baroda, Sir Sayajirao Gaekwad III",22
The parasite Samson,71
debate about the origin of the term bug in software engineering,0
a wire basket,191000
the episode,113000000
any deal with Al-Qaeda,4
a straw to save his life,3230
"the small populations, mainly of some of the Adivasi and the Andamanese people in India and the Veddas in Sri Lanka",0
episodes,993000000
a police officer,50700000
Favoured habitats,7000
"the country, hurt soldiers' morale",7
a transfusion of contaminated blood,2540
the High Renaissance prevailed-Thomas Gainsborough,4
any particular player,25900
"Washington writer Suzanne Garment, who is working on a history of post-Watergate scandal",0
a set,946000000
media,9140000000
Convent Thoughts,2190
industrialist and newspaper proprietor William Martin Murphy,9
CityRail,84500
pole position,11100000
its website,69400000
UEFA criteria,8890
no damage on government agencies,0
the Inti Raymi,31500
Oklahoma State,22900000
His trucks,170000
High winds,17000000
Blachut,63600
"recent data from the Ulysses spacecraft, across the Solar System",3
clear blue eyes,328000
Arua town,33300
only last month,542000
two shots,7450000
the southern German city of Speyer,3
the president's session with reporters,0
the series' second soundtrack,70
a screenplay written by Steve Tesich,43
"a ""lost decade ""like one",11000000
the UEFA,16100000
the' lights,98500000
a Guggenheim Fellowship,328000
an experimental car which runs on coffee,0
Slash,120000000
FINA,23500000
Some early selling,676
the two of us,64300000
This technique,167000000
"a newfound respect for Black Bolt, as well as an unexpected degree of interest",3
Liberal party candidate Eva Cote,0
"cartoon characters, such as Walt Disney's Donald Duck, and Warner Bros.' Daffy Duck",4
the airport control tower,75200
their confluence,81300
such data,57900000
a Premium Station,3430
demands for easier visa rules,0
Jim Rodford of The Kinks,130
"Koscierzyna County, Pomeranian Voivodeship, in northern Poland",0
"the Social Democratic Party, whose leader, Vaino Tanner, was a strong proponent of the parliamentary system",0
the hard drive which you can point iTunes at,0
the renowned group of Afghans,2
cross variant,44100
her colleagues,18300000
the Detroit Red Wings,1060000
The army,153000000
his parents,116000000
courtesy of a two-run eighth inning,1
Rome,432000000
This system,226000000
the visitors,114000000
President Clinton,2910000
Germany,2040000000
the ideas,111000000
any pressure from the ECB or European countries for Portugal to accept aid,0
Ohio newspapers,178000
the crowd,185000000
multiple landslide deposits,1580
HIV,484000000
a show,182000000
the principal supporters of the partisan movement,0
The ISM index,13300
"native originally of South Africa, Madagascar, and Asia",20
Culver et al.,27200
the National Memorial Cemetery of the Pacific,81100
fellow prisoners,449000
the April report,26100
the old town of Aso,1
The Barbican,1940000
he and his wife,57300000
A helicopter dispatched by China's transport ministry,0
"an English mathematician, now remembered mostly for his books, some of which broke new ground in their coverage in English of topics from mathematical analysis",5
the current government,5360000
Large part of Guatemala,50800
situation in Europe,23100000
"the capital cities of two U.S. states, Ohio and South Carolina",7
us,21000000000
China II as the villainous General Lan,6
midday,51700000
the Kingdom Holding Company,9830
Grenfell,8770000
more important factors,6700000
"people from Entre Rios, Corrientes and Santa Fe provinces plus some porteno emigrants",0
A political party registered to run in Myanmar's elections this year,0
a three-game suspension,96300
"his older brother, Abel Valdez Jr. ""We are a good family",3
The discovery of the mass graves,30500
shareholders,170000000
"Brain cells producing other brain chemicals such as GABA, norepinephrine, serotonin and acetylcholine",1
the nation's revival,1350
Julia Gillard,618000
The ship,117000000
